v1 sentences per paragraph,v2 words per paragraph,v3 close parenthesis present,v4 dash present,v5 semi-colon or colon present,v6 question mark present,v7 apostrophe present,v8 standard deviation of sentence length,v9 length difference for consecutive sentences,v10 sentence with < 11 words,v11 sentence with > 34 words,v12 contains although,v13 contains however,v14 contains but,v15 contains because,v16 contains this,v17 contains others or researchers,v18 contains numbers,v19 contains 2 times more capitals than period,v20 contains et,word variation,average token length,non alphabetic characters frequency,uncommon word frequency,non-alphabetic characters frequency,numeric value frequency,$,'',(,),",",.,:,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,JJ_pp,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB,``
6,159,False,False,True,False,False,20.61350689879494,17.0,False,True,False,False,True,False,False,False,False,True,False,0.5786163522012578,3.893081761006289,0.1320754716981132,0.559748427672956,0.1320754716981132,0.0,0.0,0.0,0.0,0.0,0.0691823899371069,0.0377358490566037,0.0251572327044025,0.050314465408805,0.0062893081761006,0.1069182389937107,0.0125786163522012,0.0,0.1194968553459119,0.0440251572327044,0.0062893081761006,0.0062893081761006,0.0,0.0,0.1132075471698113,0.050314465408805,0.0,0.0628930817610062,0.0062893081761006,0.0,0.0377358490566037,0.0251572327044025,0.050314465408805,0.0125786163522012,0.0,0.0,0.0,0.0188679245283018,0.0,0.0062893081761006,0.0880503144654088,0.0125786163522012,0.0188679245283018,0.0,0.0,0.0,0.0062893081761006,0.0,0.0062893081761006,0.0
2,55,False,True,False,False,False,12.5,25.0,False,True,False,True,False,False,False,False,False,False,False,0.8363636363636363,4.218181818181818,0.109090909090909,0.6545454545454545,0.109090909090909,0.0,0.0,0.0,0.0,0.0,0.0545454545454545,0.0363636363636363,0.0181818181818181,0.0545454545454545,0.0181818181818181,0.0727272727272727,0.0,0.0,0.0727272727272727,0.0545454545454545,0.0,0.0,0.0,0.0,0.1272727272727272,0.0,0.0,0.109090909090909,0.0,0.0,0.0181818181818181,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0181818181818181,0.0181818181818181,0.0181818181818181,0.0,0.0,0.0727272727272727,0.0181818181818181,0.0181818181818181,0.0,0.0,0.0,0.0,0.0,0.0181818181818181,0.0
1,16,False,False,False,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,0.9375,3.5625,0.25,0.6875,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.25,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
4,155,False,True,True,False,True,13.626720074911644,22.666666666666668,False,True,False,False,True,False,False,False,False,False,False,0.5096774193548387,3.270967741935484,0.1935483870967742,0.5548387096774193,0.1935483870967742,0.0,0.0,0.0129032258064516,0.0,0.0,0.0838709677419354,0.0258064516129032,0.0129032258064516,0.064516129032258,0.0064516129032258,0.1032258064516129,0.0,0.0,0.0838709677419354,0.0580645161290322,0.0,0.0,0.0064516129032258,0.0,0.1419354838709677,0.0129032258064516,0.0,0.0516129032258064,0.0064516129032258,0.0,0.0967741935483871,0.0129032258064516,0.0451612903225806,0.0,0.0,0.0,0.0,0.0258064516129032,0.0,0.0258064516129032,0.0967741935483871,0.0064516129032258,0.0,0.0,0.0,0.0,0.0064516129032258,0.0,0.0129032258064516,0.0
1,47,False,False,False,True,False,0.0,0.0,False,True,False,False,True,False,False,False,False,True,False,0.7446808510638298,3.127659574468085,0.1914893617021276,0.5957446808510638,0.1914893617021276,0.0,0.0,0.0,0.0,0.0,0.0638297872340425,0.0,0.0,0.0212765957446808,0.0,0.0851063829787234,0.0,0.0,0.1276595744680851,0.0425531914893617,0.0,0.0,0.0,0.0425531914893617,0.1702127659574468,0.0212765957446808,0.0,0.0212765957446808,0.0,0.0,0.1276595744680851,0.0212765957446808,0.0425531914893617,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0851063829787234,0.0638297872340425,0.0,0.0,0.0212765957446808,0.0,0.0,0.0,0.0,0.0,0.0
1,28,True,False,False,False,False,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,0.8928571428571429,4.25,0.2142857142857142,0.75,0.2142857142857142,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.0357142857142857,0.0,0.0714285714285714,0.0,0.0357142857142857,0.0,0.0,0.0714285714285714,0.0357142857142857,0.0,0.0,0.0,0.0,0.1428571428571428,0.0357142857142857,0.0,0.0714285714285714,0.0,0.0,0.0,0.0714285714285714,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071428571428571,0.0357142857142857,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0
6,111,False,False,False,False,True,8.51958527942137,6.6,True,False,False,False,True,False,True,False,False,False,False,0.7207207207207207,3.774774774774775,0.1171171171171171,0.5675675675675675,0.1171171171171171,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.054054054054054,0.0,0.036036036036036,0.009009009009009,0.063063063063063,0.0,0.0,0.081081081081081,0.1261261261261261,0.009009009009009,0.009009009009009,0.0,0.018018018018018,0.1261261261261261,0.036036036036036,0.0,0.009009009009009,0.0,0.009009009009009,0.072072072072072,0.027027027027027,0.081081081081081,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.045045045045045,0.09009009009009,0.009009009009009,0.009009009009009,0.0,0.009009009009009,0.0,0.009009009009009,0.0,0.009009009009009,0.0
2,28,False,False,True,False,False,0.0,0.0,False,False,False,False,False,False,False,False,False,True,False,0.8571428571428571,3.0,0.3214285714285714,0.5714285714285714,0.3214285714285714,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0357142857142857,0.0,0.0,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0,0.0714285714285714,0.0357142857142857,0.0714285714285714,0.0,0.0714285714285714,0.0,0.0,0.1785714285714285,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.0,0.0,0.0,0.0357142857142857,0.0,0.1071428571428571,0.0357142857142857,0.0,0.0,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
2,18,False,False,False,True,False,2.0,4.0,True,False,False,False,False,False,True,False,False,False,False,0.9444444444444444,3.333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.1111111111111111,0.0555555555555555,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0,0.0,0.0
3,50,False,True,False,False,True,6.599663291074443,14.0,False,False,False,False,False,False,False,False,False,False,False,0.8,3.44,0.3,0.64,0.3,0.0,0.0,0.04,0.0,0.0,0.04,0.04,0.02,0.02,0.0,0.04,0.02,0.0,0.08,0.12,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.02,0.0,0.02,0.08,0.02,0.16,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0
